Manufacturer Part Number,Manufacturer,Digi-Key Part Number,Reference Designator,Quantity,Unit Price,Extended Price,Description
SR215C104KAA,AVX Corporation,478-2472-ND,"C10,C11,C12,C13,C14,C15,C16,C17,C18,C2,C3,C7,C8,C9",14,0.135,$1.89 ,CAP CER 0.1UF 50V X7R RADIAL
SR215C224KAA,AVX Corporation,478-11709-ND,C1,1,0.41,$0.41 ,CAP CER 0.22UF 50V X7R RADIAL
MRS25000C1002FCT00,Vishay BC Components,BC3326CT-ND,"R10,R13,R15,R18,R21,R24,R28,R30,R4,R51,R55,R7",12,0.242,$2.90 ,RES 10K OHM 0.6W 1% AXIAL
R82DC3100DQ50J,KEMET,399-5444-1-ND,"C19,C21,C22,C24,C25,C27,C28,C30,C31,C33,C34,C36",12,0.211,$2.53 ,CAP FILM 0.1UF 5% 63VDC RADIAL
8.60E+11,Wurth Electronics Inc.,732-9321-1-ND,"C4,C5,C6",3,0.5,$1.50 ,CAP 100 UF 20% 35 V
CF14JT10K0,Stackpole Electronics Inc,CF14JT10K0CT-ND,R1,1,0.1,$0.10 ,RES 10K OHM 1/4W 5% AXIAL
R82EC2100DQ50J,KEMET,399-5450-1-ND,"C20,C23,C26,C29,C32,C35",6,0.27,$1.62 ,CAP FILM 10000PF 5% 100VDC RAD
PPPC102LFBN-RC,Sullins Connector Solutions,S6106-ND,"H1,H8",2,1.26,$2.52 ,CONN HDR 20POS 0.1 GOLD PCB
MRS25000C1403FCT00,Vishay BC Components,BC3995CT-ND,"R34,R37,R40,R43,R46,R49",6,0.29,$1.74 ,RES 140K OHM 0.6W 1% AXIAL
MRS25000C1582FCT00,Vishay BC Components,BC4574CT-ND,"R35,R38,R41,R44,R47,R50",6,0.29,$1.74 ,RES 15.8K OHM 1% 0.6W AXIAL
MRS25000C1782FCT00,Vishay BC Components,BC4022CT-ND,"R33,R36,R39,R42,R45,R48",6,0.29,$1.74 ,RES 17.8K OHM 0.6W 1% AXIAL
CF14JT1K00,Stackpole Electronics Inc,CF14JT1K00CT-ND,R2,1,0.1,$0.10 ,RES 1K OHM 1/4W 5% AXIAL
MRS25000C2002FCT00,Vishay BC Components,BC4043CT-ND,"R11,R12,R14,R16,R17,R19,R20,R22,R23,R25,R26,R27,R29,R3,R31,R32,R5,R52,R53,R54,R56,R6,R8,R9",24,0.242,$5.80 ,RES 20K OHM 0.6W 1% AXIAL
PPTC082LFBN-RC,Sullins Connector Solutions,S7076-ND,H9,1,0.99,$0.99 ,CONN HDR 16POS 0.1 TIN PCB
SBH11-PBPC-D08-ST-BK,Sullins Connector Solutions,S9171-ND,H7,1,0.42,$0.42 ,CONN HEADER VERT 16POS 2.54MM
35PM2A,Switchcraft Inc.,SC1456-ND,"J1,J2,J3,J4,J5,J6",6,3.16,$18.96 ,CONN JACK MONO 3.5MM PNL MNT
151031SS04000,Wurth Electronics Inc.,732-5005-ND,LED1,1,0.18,$0.18 ,LED RED DIFFUSED 3MM ROUND T/H
971110155,Wurth Electronics Inc.,732-13059-ND,"SO1,SO2,SO3",3,0.89,$2.67 ,PLASTIC SPACER STUD METRIC THREA
SOF-15126,Essentra Components,RPC5102-ND,"MH1,MH2,MH3,MH4",4,1.38,$5.52 ,"FOOT CYLINDRICAL 0.886"" DIA BLK"
M20-9990246,Harwin Inc.,952-2262-ND,J7,1,0.11,$0.11 ,CONN HEADER VERT 2POS 2.54MM
TL074IN,Texas Instruments,296-7200-5-ND,"U2,U3,U4,U5,U6,U7",6,0.98,$5.88 ,IC OPAMP JFET 3MHZ 14DIP
MC79L05ACLPR,Texas Instruments,296-31456-1-ND,U1,1,0.5,$0.50 ,IC REG LINEAR -5V 100MA TO92-3
85,Adafruit Industries LLC,1528-1074-ND,"H2,H3,H4,H5,H6",1,1.95,$1.95 ,STACKING HEADER ARDUINO SHIELD
GS-830,Global Specialties,BKGS-830-ND,"A1,A2",2,8.78,$17.56 ,"BREADBRD TERM STRIP 6.50X2.13"""
1825910-6,TE Connectivity ALCOSWITCH Switches,450-1650-ND,SW1,1,0.11,$0.11 ,SWITCH TACTILE SPST-NO 0.05A 24V
5006,Keystone Electronics,36-5006-ND,"TP1,TP2,TP3",3,0.35,$1.05 ,PC TEST POINT COMPACT BLACK
,,,,,,$80.49 ,
